Label,Region,Network,NetworkNum
136,schaefer_136,Cont,6
137,schaefer_137,Cont,6
138,schaefer_138,Cont,6
139,schaefer_139,Cont,6
140,schaefer_140,Cont,6
141,schaefer_141,Cont,6
142,schaefer_142,Cont,6
143,schaefer_143,Cont,6
144,schaefer_144,Cont,6
145,schaefer_145,Cont,6
146,schaefer_146,Cont,6
147,schaefer_147,Cont,6
148,schaefer_148,Cont,6
149,schaefer_149,Default,7
150,schaefer_150,Default,7
151,schaefer_151,Default,7
152,schaefer_152,Default,7
153,schaefer_153,Default,7
154,schaefer_154,Default,7
155,schaefer_155,Default,7
156,schaefer_156,Default,7
157,schaefer_157,Default,7
158,schaefer_158,Default,7
159,schaefer_159,Default,7
160,schaefer_160,Default,7
161,schaefer_161,Default,7
162,schaefer_162,Default,7
163,schaefer_163,Default,7
164,schaefer_164,Default,7
165,schaefer_165,Default,7
166,schaefer_166,Default,7
167,schaefer_167,Default,7
168,schaefer_168,Default,7
169,schaefer_169,Default,7
170,schaefer_170,Default,7
171,schaefer_171,Default,7
172,schaefer_172,Default,7
173,schaefer_173,Default,7
174,schaefer_174,Default,7
175,schaefer_175,Default,7
176,schaefer_176,Default,7
177,schaefer_177,Default,7
178,schaefer_178,Default,7
179,schaefer_179,Default,7
180,schaefer_180,Default,7
181,schaefer_181,Default,7
182,schaefer_182,Default,7
183,schaefer_183,Default,7
184,schaefer_184,Default,7
185,schaefer_185,Default,7
186,schaefer_186,Default,7
187,schaefer_187,Default,7
188,schaefer_188,Default,7
189,schaefer_189,Default,7
190,schaefer_190,Default,7
191,schaefer_191,Default,7
192,schaefer_192,Default,7
193,schaefer_193,Default,7
194,schaefer_194,Default,7
195,schaefer_195,Default,7
196,schaefer_196,Default,7
197,schaefer_197,Default,7
198,schaefer_198,Default,7
199,schaefer_199,Default,7
200,schaefer_200,Default,7
201,schaefer_201,Vis,1
202,schaefer_202,Vis,1
203,schaefer_203,Vis,1
204,schaefer_204,Vis,1
205,schaefer_205,Vis,1
206,schaefer_206,Vis,1
207,schaefer_207,Vis,1
208,schaefer_208,Vis,1
209,schaefer_209,Vis,1
210,schaefer_210,Vis,1
211,schaefer_211,Vis,1
212,schaefer_212,Vis,1
213,schaefer_213,Vis,1
214,schaefer_214,Vis,1
215,schaefer_215,Vis,1
216,schaefer_216,Vis,1
217,schaefer_217,Vis,1
218,schaefer_218,Vis,1
219,schaefer_219,Vis,1
220,schaefer_220,Vis,1
221,schaefer_221,Vis,1
222,schaefer_222,Vis,1
223,schaefer_223,Vis,1
